# Id, IsActive, CategoryId, Name, ImageFilename
'0604dcb4-7c56-490a-802a-8b935c07034d', '1', '9314bee1-f4f0-4c17-960d-3eb2481f6c50', 'Tools', NULL
'112356ff-13bc-4858-81b2-93391ea28fdb', '1', '7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd', 'Adhesive Cartridges/Kits', NULL
'21f933c3-fde5-41df-b37f-7e5e35b0d77e', '1', '893afc60-78b2-49c9-a57e-e5276ca21830', 'Threaded Bushings', NULL
'24fbe44d-f4e2-48a5-8997-802432eb2f7d', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Cable-Tie Mounts', NULL
'3e2667ff-99af-4b59-8a55-5ce3330083e3', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Miniature', NULL
'6409bfcb-79f7-446b-9f4c-ced58bb69769', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Swivel Cable-Tie Mounts', NULL
'67ec4050-f249-40af-b885-abd34935e0d3', '1', '893afc60-78b2-49c9-a57e-e5276ca21830', 'Through-Hole Bushings', NULL
'6c4d973b-6fe0-49be-b29f-1ea77dad691e', '1', NULL, 'Studs & Standoffs', 'studsandstands.png'
'6df7bf54-6750-4f33-a56e-53a051429f89', '1', '6c4d973b-6fe0-49be-b29f-1ea77dad691e', 'Accessories', NULL
'6e2c4a67-10fd-4096-a9cc-c527212c84dc', '1', '7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd', 'Adhesive Mixing Tips', NULL
'706f8c92-4540-4065-9ba2-c9f707173b8b', '1', '893afc60-78b2-49c9-a57e-e5276ca21830', 'Other', NULL
'7225d449-007c-4c48-bfba-a122f1d22cf9', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Insulation Blanket Mounts', NULL
'7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd', '1', NULL, 'Adhesives & Accessories ', 'adhesives.jpg'
'7645862c-ab12-4d14-9369-b385a10d1804', '1', NULL, 'Mounts & Cable Ties', 'mounts.png'
'7e10d7ae-3dd3-479c-94da-54096b2149a9', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Threaded Mounts', NULL
'7e1c77e9-07ac-4cb7-89e6-6b3e81a55a7f', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Sealed', NULL
'886247a4-ad3b-4e36-8ca6-024743825829', '1', '6c4d973b-6fe0-49be-b29f-1ea77dad691e', 'Standoffs', NULL
'893afc60-78b2-49c9-a57e-e5276ca21830', '1', NULL, 'Bushings', 'bushings.png'
'9314bee1-f4f0-4c17-960d-3eb2481f6c50', '1', NULL, 'Tools & Accessories', 'tools.png'
'954edef4-3913-4a87-8c51-ad6896207ae2', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Standard', NULL
'9d953b3c-1389-4ff2-bdd2-ffb35defa9c7', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Other', NULL
'a3548288-7ef5-4d2c-bdc4-498ea25cb005', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Cable Ties', NULL
'ad8ccc16-8fc5-4f63-8c47-0fce8b1d1998', '1', '9314bee1-f4f0-4c17-960d-3eb2481f6c50', 'Accessories', NULL
'b310069e-4533-4d66-b880-07fbc6e420fc', '1', NULL, 'Nutplates', 'nutplates.png'
'b3a436ea-1a8b-4aab-95d0-e44537bd73ee', '1', NULL, 'Click Patch', 'clickpatch.jpg'
'e36cad03-cfce-4255-bd41-c58051bbd45b', '1', '7645862c-ab12-4d14-9369-b385a10d1804', 'Other', NULL
'ecaf9940-f9ac-496c-af61-363fee1123fd', '1', '7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd', 'Adhesive Dispensers', NULL
'ee12a451-dd40-4d73-ade8-caab44244821', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Composite Base Nutplates', NULL
'f5806252-4e8a-49e1-97f6-05d4ac28729f', '1', 'b310069e-4533-4d66-b880-07fbc6e420fc', 'Sleeved', NULL
'fb35a197-54ab-4097-b508-100db2687a09', '1', 'b3a436ea-1a8b-4aab-95d0-e44537bd73ee', 'Click Patch', NULL
'fb529ffa-63fb-4e9c-ae4f-a629ebb86056', '1', '6c4d973b-6fe0-49be-b29f-1ea77dad691e', 'Studs', NULL
