# Id	IsActive	CategoryId	SubCategoryId	Code	ShortDescription	LongDescription	MostPopular	NumberOfInstallationExamples	DrawingUrl	ImageFilename	DrawingFilename	CategoryCD
028febf3-92cc-409f-8ba6-7ba28c3dc636	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	6e2c4a67-10fd-4096-a9cc-c527212c84dc	CB106	Tip, mixing	Recommended for use in conjunction with Click Bond adhesive cartridges, the CB106 static mixing tip provides thorough mixing of adhesive components during dispensing, ensuring optimal adhesive consistency and bond strength. Designed to twist and lock onto the end of the Click Bond adhesive cartridge, Click Bond mixing tips provide not only proper interleaving of pre-ratioed components but additionally pre-phasing to ensure optimum mix uniformity. To prevent pre-mix of the adhesive, the tip integrates a barrier separating the individual adhesive components until they reach the integral mixer. If open time of adhesive in the mixing tip exceeds the adhesive pot life, the adhesive will become cured in the tip, preventing further dispensing. Removal of the used tip and replacement with a fresh tip is as simple as twisting to remove the cured tip, wiping off the end of the cartridge, and twisting a new tip in place. 	1	0		cb106.jpg	cb106.pdf	adhesives
0720af83-4c3f-4a29-b6cc-90bbb37d9531	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	ecaf9940-f9ac-496c-af61-363fee1123fd	CB100	Adhesive Dispenser	Manual adhesive dispenser designed for use with Click Bond two-component adhesive cartridges. The dispenser handle is paired with specific slides for proper dispensing of materials of various component ratios. Refer to the CB100 Sales Drawing for a tabulated reference to assist in choosing the correct slide for your specific adhesive(s).	0	0		cb100.jpg	cb100.pdf	adhesives
3be4b30d-0641-4f2c-9109-d2aeb36031ef	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB250-50	Acrylic adhesive, dual pack cartridge	CB250 is a general purpose thixotropic paste adhesive ideal for bonding ABS, PVC, acrylic, styrene, metals, woods, and ceramics. It features high shear, peel, and impact strength with a fast cure at room temperature. *Cartridge requires dispenser and mixing tips. See CB100 for correct dispenser/slide.	0	0		CB250-50.jpg		adhesives
47baf393-926b-4f36-aa80-ae64c038911f	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB911	Solvent Wipe	Pre-saturated wipe contains Click Bond recommended solvent blend optimized for surface preparation of metallic and composite substrates and Click Bond adhesive-bonded fasteners. CB911 solvent blend has perfect balance of aggressiveness, material compatibility, and flashoff time to deliver optimal surface cleanliness.	0	0		cb911.jpg	cb911.pdf	adhesives
493744ab-06cd-4f76-93cf-2406eb02d207	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB309-50	Epoxy Adhesive, Dual-pack Cartridge	*Cartridge requires dispenser and mixing tips. Can be spec'd to various certification, additional charges will apply for required testing and shipping methods. BE SURE TO NOTE AT THE TIME OF ORDERING IF SPECIAL SPEC IS NEEDED THIS CAN NOT BE ADDED LATER.	0	0		cb309-50.jpg	cb309-50.pdf	adhesives
6f8d45f8-4dee-48a3-aa42-37e96b9ab099	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB200	Adhesive, 3.5 gram Adhesive Packet	Adhesives ship via UPS or Fed ex only and may be subject to a hazardous material charge depending on quantity and classification/designation.  Click Bond offers acrylic and epoxy adhesives and sealants appropriate for bonding fasteners and patches. Easy to use pre-proportioned adhesive packet or cartridge systems are available.  	1	0		CB200.png	cb200.pdf	adhesives
76b069ec-1b24-448e-b450-9c198a83b4a3	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB359-50	Epoxy Adhesive, Dual-pack Cartridge	Adhesives may be subject to a hazardous material shipping charge depending on quantity and classification/designation.  Cartridge requires dispenser and mixing tips.  See CB100 for correct dispenser/slide.	1	0		cb359-50.jpg	cb359-50.pdf	adhesives
8bf89bd6-7faa-4b16-9668-6c8b77f86178	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB394-43	Epoxy Adhesive, High-temp, Dual-pack Cartridge	CB394 is a two-part structural paste adhesive capable of room temperature cure. It also exhibits excellent strength at 350°F / 177°C and higher, although at the expense of toughness and peel strength. CB394 is capable of bonding metals, many thermoplastics, and thermoset composites. CB394 is recommended for installation of Click Bond adhesive-bonded fasteners where high-temperature environments are present.  Adhesives may be subject to a hazardous material shipping charge depending on quantity and classification/designation.  Cartridge requires dispenser and mixing tips.  See CB100 for correct dispenser/slide.	0	0		cb394-43.jpg	cb394-43.pdf	adhesives
99e808fd-b420-44db-a8f5-dc1f2f4825eb	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB301-50	Epoxy Adhesive, Dual pack cartridge 	CB301 is a two-part, room temperature curing, flexible adhesive having a combination of good peel and shear strength. This system has a convenient 2:1 volumetric mix ratio which allows use in side-by-side cartridges with a static mixer. CB301 adhesive replaces welding, riveting, and other mechanical fastening methods and is recommended for bonding Click Bond adhesive-bonded fasteners. This adhesive can be ordered to various spec's PLEASE BE SURE TO NOTE IF A SPECIAL SPEC IS REQUIRED THIS CAN NOT BE ADDED LATER. Adhesives may be subject to a hazardous material shipping charge depending on quantity and classification/designation.  Cartridge requires dispenser and mixing tips.  See CB100 for correct dispenser/slide.	0	0		CB301-50.jpg	cb0301.pdf	adhesives
b5b739c0-885d-4715-963f-0f7a044a2e84	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB300	4-Gram Adhesive		0	0		cb300.jpg		adhesives
ddc0d89c-6bb3-42bb-9ae9-97e71c76178b	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB200-40	Acrylic Adhesive,  Dual-pack Cartridge	*Cartridge requires dispenser and mixing tips. *CB200-40 available spec'd to various LMA, CMS or MEP additional charges will apply for required testing cert's and shipping methods. BE SURE TO NOTE AT THE TIME OF ORDERING IF SPECIAL SPEC IS NEEDED THIS CAN NOT BE ADDED LATER.	1	0		CB200-40.jpg	cb200-40.pdf	adhesives
fccff759-c161-492a-97d7-c8278fe5bb19	1	7352ffa6-e2b8-4a6c-86e0-519d9c5b9cfd	112356ff-13bc-4858-81b2-93391ea28fdb	CB92	Kit, Acrylic Adhesive and Prep. Material		1	0		cb92.jpg	cb92.pdf	adhesives
058f4b9a-6eb5-49fc-82a1-92a6af2ddb89	1	893afc60-78b2-49c9-a57e-e5276ca21830	67ec4050-f249-40af-b885-abd34935e0d3	CB5007	Through-Hole Bushing, Small Flange	Threaded bushing provides localized reinforcement of panel structure.	0	0		cb5007.jpg	cb5007.pdf	bushings
