PartNumber,IsActive,Description,Price,PartLoc,AvailQty,PkgQty,PkgPrice,DSort,CategoryCD,ProdCode
CB6014CR5-1P,1,3/16-24 nutplate,10.65,Bin:,0,1,0,0.3125CR5-1P,nutplates,CB6014
CB6011CR6-1,1,Nutplate,19.9,Bin:,0,1,0,0.3750CR6-1,nutplates,CB6011
CB3000CRA3-32,1,Stud,13.84,Bin:,0,25,0,0.1900CRA3-32,studsandstands,CB3000
CB5006CR3-150,1,"Sleeve, Insert",6,Bin:,0,1,0,CB506CR3-150CB506CR3-150,bushings,CB5006
CB3005CR4-10,1,"Bushing, Threaded",8.76,Bin:,0,1,0,0.2500CR4-10,bushings,CB3005
CS125-1032-20GCR,1,Stud,9.12,Bin:,0,1,0,0.1900-1032-20GCR,studsandstands,CS125
CB6007CR3-1,1,Nutplate,7.5,Bin:,0,1,0,0.1900CR3-1,nutplates,CB6007
CB3019A3N,1,Cable tie mount,3.05,Bin:,0,25,0,0.1900A3N,mounts,CB3019
CB6011CR5M-1P,1,Nutplate/Metric,4.5,Bin:,0,1,0,0.3125CR5M-1P,nutplates,CB6011
CP125-625-005-A2A1,1,Aluminum/anodized large hat patch,12.17,Bin:,0,25,0,CP125-625-005-A2A1-005-A2,clickpatch,CP125-625
CP62-000-005-A1A1,1,Very small flat patch ,9.66,Bin:,0,1,0,CP62-000-005-A1A1CP62-000,clickpatch,CP62
CB4064V3-24P,1,cable tie standoff,5.67,Bin:,0,1,0,0.1900V3-24P,mounts,CB4064
CS125-1032-14GCR,1,"Stud, composite base",9.12,Bin:,0,1,0,0.1900-1032-14GCR,studsandstands,CS125
CB4022V3CR8,1,"10/32-1/2"" length",9.56,Bin:,0,1,0,0.1900V3CR8,mounts,CB4022
CB8009CR3-1R,1,High-reuse nutplate,6.5,Bin:,0,1,0,0.1900CR3-1R,nutplates,CB8009
CB2031CR3CRP,1,"10/32"" stainless steel/primed",8.75,Bin:,0,1,0,0.1900CR3CRP,nutplates,CB2031
CB8009CR3-1PR,1,Nutplate,6.65,Bin:,0,1,0,0.1900CR3-1PR,nutplates,CB8009
